"line","speaker","dialogue"
7596,"PAM"," I thought he meant I was fuel-efficient. I only had ten beers."
7598,"PAM"," No. Yes. Hence the shandy. My head feels like a bunch of monkeys fighting over a bucket of marbles. [CAR HORN HONKS]"
7599,"PAM"," So stick that horn in your ass! Nut sack."
7615,"PAM"," [SCREAMS]"
7619,"PAM"," What? Cheryl?"
7621,"PAM"," What? What are you--?"
7626,"PAM"," What?"
7628,"PAM"," Cheryl!"
7630,"PAM"," What are you talking about?"
7632,"PAM"," Goddamn it, I'm not Che-- [TIRES SCREECH]"
7717,"PAM"," Who taught you how to punch? Your husband? [GRUNTS]"
7718,"PAM"," You better just fucking kill me."
7802,"PAM"," That's what I've been trying to tell you. Between this little gal's love taps. [GRUNTS]"
7803,"PAM"," Seriously. Maybe see if your daddy will give you a roll of nickels."
7805,"PAM"," Ha-ha-ha. How do you think I paid for college?"
7806,"PAM"," Two-sixty, 280, and Jackson makes three. And, uh, sorry about your homey... ...homies."
7808,"PAM"," I assume she's safe at ISIS, laughing her skinny, lying ass off because she got me kidnapped."
7837,"PAM"," (over phone) Yeah, I'm right here with the guy."
7839,"PAM"," I am."
7841,"PAM"," What?"
7843,"PAM"," Oh, for-- Seriously?"
7851,"PAM"," What?"
7853,"PAM"," No, wait, wait, don't hang-- [DIAL TONE]"
7865,"PAM"," I mean, I know it's hard to put a dollar value on a human life, but for shit's sake, five grand?"
7867,"PAM"," Oh, come on, I haven't seen your faces."
7869,"PAM"," Damn."
7875,"PAM"," I can get you guys in."
7877,"PAM"," Yeah, screw them, especially Cheryl. Hope you kidnap the shit out of her."
7912,"PAM"," Oh, okay. Then good luck getting past all the biometric scanners. I mean, unless you wanna chop off my fingertips, and slice out my retinas. Oh, don't be dicks."
7936,"PAM"," Hey, I'm not the one who smashed my eyes into eggplants. Nut sack. There. Now cut this shit off so I can do the fingerprint reader."
7984,"PAM"," Oh, for-- Seriously?"
8005,"PAM"," Do you people even give a shit? [Pam snaps kidnapper's neck]"
8008,"PAM"," Cheryl's dumb ass gets me kidnapped, and the shit kicked out of me all day, and nobody even tries to rescue me?"
8011,"PAM"," You shut up, Mr. Pam's-Not-Worth-It."
8013,"PAM"," Then you stupid A-holes shoot a jillion stupid A-hole bullets at me."
8015,"PAM"," And you, the worst of the bunch."
8017,"PAM"," Five thousand measly dollars."
8019,"PAM"," Yeah?"
8021,"PAM"," Well, let's see how much you wiggle when I'm whipping 5000 bucks' worth of your ass."
8026,"PAM"," Yeah, anybody..."
8028,"PAM"," ...want a piece of this?"
8108,"PAM"," All except Ms. Archer's!"
8111,"PAM"," Maybe not to you, Glenda Gotrocks..."
8113,"PAM"," Stop being a frickin jillionaire!"
8120,"PAM"," Shitsnackin crackers!"
8190,"PAM"," Tell her I said hey!"
8197,"PAM"," Cyril tell her I said --"
8295,"PAM"," And some blowjobs. I mean printers."
8364,"PAM"," Holla!"
8368,"PAM"," Way to go, stupid."
8370,"PAM"," Aw, shit! Plus I gave 'em all my stickers."
8403,"PAM","(OS) I'm not eavesdropping!"
8405,"PAM"," What's up?"
8407,"PAM"," Okay A, nobody cares about your big knobbly vibrating eggplant!"
8409,"PAM"," B, sometimes I work late, and C, there's this new thing the kids are doin, called shuttin the damn door!"
8410,"PAM"," Foaty ounce in my lap, and it's freezin my jernk..."
8468,"PAM"," I'm still not eavesdropping!"
8521,"PAM"," Were you talking about we're out of rubber cement?"
8525,"PAM"," Who cares about yer glue withdrawal?! Jeez, what if Mr. Archer gets killed?!"
8713,"PAM"," It's O.K., we can hear from out here!"
8778,"PAM"," Rrgh! She's not in here, dumbass! And this deuce ain't gonna drop itself!"
8780,"PAM"," Cause I got ripped in a bar last night, and I was tryna beat my record for crammin pool balls in my mouth when some a-hole slaps me on the back, and --"
8782,"PAM"," I wish just one. And I still got two to go, so if ya don't mind?!"
8814,"PAM"," Oh, shit! Wait'll everybody sees this!"
8875,"PAM"," After? Why didn't you lock down the building?!"
9068,"PAM"," No he didn't! What's wrong with you?!"
9089,"PAM"," What a hunk!"
9145,"PAM"," Oh please, you're so hot for him I could re-heat this chili in yer cooch."
9147,"PAM"," Actually, no. Most of my job's dealing with sexual harassment complaints against Mr. Archer, so... are we gonna cook some cooch chili or what?"
9212,"PAM"," I dunno, just try to only use em for good."
9218,"PAM"," I thought it was just a myth! Like a big, beautiful, no-limit unicorn!"
9358,"PAM"," Aw c'mon! Clock yer skinny ass out already, and let's go get outside some dranks!"
9365,"PAM"," Well his plane did crash, and the distress signal was last heard coming from a known pirate fortress, so..."
9379,"PAM"," Wasted, exactly, let's go be that! C'mon, happy hour at Pita Margarita's!"
9381,"PAM"," Only if it sounds like a shitload of tequila and some A-rab hoagies."
9383,"PAM"," Arab, sorry."
9406,"PAM"," Whatcha doin?"
9410,"PAM"," Izzat innernet porn?"
9412,"PAM"," Can I watch? Or izzat weird?"
9414,"PAM"," Is it?"
9693,"PAM"," Don't talk like black people, and how should I know? I'm still ripped."
9695,"PAM"," I don't even remember who peed on your sofa. Although, if I was a gamblin' man"
9784,"PAM"," I can't! Remember! There's a reason they call it ""black-out drunk!"""
9810,"PAM"," Uh"
9812,"PAM"," Hey, way to not give him the power."
9834,"PAM"," No! What're you, gonna type random words in there the rest of your life?"
9836,"PAM"," State-dependent memory!"
9924,"PAM"," Bring 'em."
9939,"PAM"," Five oh, five oh!"
9944,"PAM"," Why just me, what's happenin' Sunday?"
9946,"PAM"," Ya try ""guest""?"
9948,"PAM"," Bring it."
10113,"PAM"," I swear to God, you could drown a toddler in my panties right now. I mean not that you would, but --"
10120,"PAM"," That's actually kinda scary."
10165,"PAM"," You really think he'd do that?"
10174,"PAM"," Why are you torturing her like that?!"
10366,"PAM"," Okay, taxiiii!"
10384,"PAM"," And, I for one, am gonna go watch Hooper and masturbate til my fingers bleed."
10429,"PAM"," Nkay."
10444,"PAM"," Swear to God, first thing Friday morning we all gotta pee in a cup -"
10446,"PAM"," Cleaning out my freezer last week, found a big bag of skank. I guess I brought it back from Jamaica, but --"
10448,"PAM"," No, stupid. All drugs."
10450,"PAM"," How bout you, Ironsides? You rollin dirty?"
10453,"PAM"," Well then we're all screwed."
10457,"PAM"," Are you telling us that?"
10461,"PAM"," Well here, gimme gimme give it!"
10525,"PAM"," Yeah, well here's shit in your eye."
10527,"PAM"," Man, if I had a nickel for every time I heard a guy said that, I'd have eight nickels."
10554,"PAM"," Damn that Krieger. Nazi-clone-bastard."
10556,"PAM"," Aagh! Who the hell are you?!"
10558,"PAM"," You're not my friend, you're a Decepticon"
10563,"PAM"," Must! Kill! Decepticon!"
10726,"PAM"," No no no no nooo!"
10729,"PAM"," You'll never take me aliiiive!"
10757,"PAM"," Speaking of work, can I put what I just assume is your rock collection on the stupid train?"
10759,"PAM"," What?"
10762,"PAM"," Okay, no biggie. Have a nice trip. [*** Pam runs off ***]"
10830,"PAM"," Get yer panties untwisted! Damn..."
10841,"PAM"," Uh, cause she owns the railroad?"
10851,"PAM"," Really?"
10866,"PAM"," And Pam."
10935,"PAM"," Whatsa matter? Ya chicken?"
10937,"PAM"," Bawk bawk bawk bawk bawk bawk!"
10939,"PAM"," Couple skate?"
11022,"PAM"," Hoh-lee -- [EXPLOSION SOUND]"
11023,"PAM"," --shitsnacks! What was that?"
11054,"PAM"," Oh for -- way to man up, Ray!"
11061,"PAM"," Yeah, I think so."
11125,"PAM"," What's it matter, we're all banned from Canada."
11168,"PAM"," It's full of shit?"
11182,"PAM"," Tuesday?"
11234,"PAM"," Well c'mon! Give your mom a hug!"
11306,"PAM"," That would be the Yakuza..."
11308,"PAM"," And man, against those pinkieless bastards, you had better come correct."
11310,"PAM"," Moshiwake arimasen. Homies."
11314,"PAM"," I'm not crappy, I just started!"
11316,"PAM"," I -- it's tonight, and I dunno, if the Yakuza finds out you're snoopin around about a hot set of wheels..."
11340,"PAM"," That would be Mr. Moto, he's -- Crapjacks, he's coming over here!"
11342,"PAM"," Hai, Moto-san. And again, just... really sorry about your nephew."
11347,"PAM"," Ar -- Randy, don't --"
11356,"PAM"," Aw man, I just totally lost face!"
11359,"PAM"," Ew."
11365,"PAM"," No wonder it was runnin rough..."
11402,"PAM"," Right-hand drive, duh."
11413,"PAM"," What nothing!"
11415,"PAM"," Dammit..."
11418,"PAM"," How should I know? Can't see shit, my car's shot to shit, and I only had three shitty payments --"
11420,"PAM"," What?"
11423,"PAM"," Move! The damn! Hood!"
11427,"PAM"," What're ya gonna do, shoot my car?"
11429,"PAM"," No she's --"
11430,"PAM"," God damn it!"
11432,"PAM"," Are you?"
11449,"PAM"," Not if Shiroi Kabocha can help it..."
11452,"PAM"," Duh! Why d'ya think they call me Shiroi Kabocha ?"
11454,"PAM"," The white shadow..."
11456,"PAM"," Wh-?!"
11458,"PAM"," Oh yeah?! Well I gotcher pumpkin hangin!"
11460,"PAM"," Ya used-panty-vending sonsabitches!"
11462,"PAM"," Yeah, we'll see about that. Gun, gimme."
11464,"PAM"," Shut up, gimme the gun."
11466,"PAM"," Give it!"
11468,"PAM"," No shit I'm agitated, look at my car!"
11689,"PAM"," Hell is that?!"
11695,"PAM"," 'Cause it sure as shit ain't a surprise party, Krieger! Ya big fat liar!"
11702,"PAM"," Not what it means."
11716,"PAM"," And follow up, did those dastardly dagoes kill him and then dress him up like a big giant penis, or --"
11756,"PAM"," What are you doing -- from the left, dear, one serves from the left!"
11770,"PAM"," No one cares, Figgis, you were only invited to round out the numbahs."
11956,"PAM"," Fighting a war on the war on drugs?"
11958,"PAM"," What, you shoulda looked under the stalls!"
11960,"PAM"," Yeah, I usually put my feet up on the grab bars."
11964,"PAM"," Uh..."
12087,"PAM"," Well, hello there, game-changer."
12218,"PAM"," Here's the files you had me pull."
12220,"PAM"," My bum-zappers. For the shockfights? That I'm doing for Krieger, which is why he broke the server, to help Lana cover up that Ray and Mr. Archer are killing cops for a drug dealer and also Ray's been faking that he's paralyzed?"
12222,"PAM"," Or are we not telling you that?"
12251,"PAM"," Lana'n Cyril bailed! Triflin bitches! Here! Less yer a triflin bitch too!"
12253,"PAM"," Green Russians! It's absinthe and -- Milk, sweet shitsnacks lookit those!"
12255,"PAM"," Woooo! I'm Pacman Jones!"
12267,"PAM"," Heroin?!"
12269,"PAM"," That's the last frickin thing I need. I'm bound up tighter'n dick's hatband."
12271,"PAM"," Yeah, we did. And you loved it!"
12273,"PAM"," [FART]"
12274,"PAM"," Okay, jeez, I get it!"
12276,"PAM"," That I was the best sex you ever had?"
12278,"PAM"," Not literally..."
12280,"PAM"," That's a hundred and fifty gallons. Of Pam's hot, dirty, ball-slappiney --"
12282,"PAM"," Come at me bro! How ya gonna keep 'em, down on the farm, after they seen Pam-ee?"
12318,"PAM"," Or on the dirty floor in the elevator?"
12326,"PAM"," Well how do ya think that makes me feel?!"
12328,"PAM"," Ugh, oh alright! But this time get in there. All ya been doin' is givin' one side hell."
12390,"PAM"," C'mon, you make me sound like some kinda... chupacabra, but for dicks."
12392,"PAM"," You know I grew up on a farm, right?"
12396,"PAM"," I gotta bounce. Later taters."
12480,"PAM"," Headin out?"
12482,"PAM"," Okay."
12484,"PAM"," Your place?"
12486,"PAM"," So it's a DVD, a box of wine and some Hot Pockets, and off to bed."
12495,"PAM"," ... my point is, if you're confident in yourself as a woman, who cares if he wants to keep it on the DL?"
12497,"PAM"," But nothin! Because who's to say you're not using him for sex?"
12499,"PAM"," Okay."
12542,"PAM"," First thing is, yer shitter's clogged."
12544,"PAM"," Second thing is, if you want me to keep doin ya dirty on the down-low --"
12546,"PAM"," Then we are gonna have some ground rules. To wit!"
12561,"PAM"," What's up?"
12563,"PAM"," Awkward."
12565,"PAM"," Well... I wouldn't say amazing... What? C'mon, you were pushin rope!"
12614,"PAM"," What?"
12616,"PAM"," It's Bear Claw Monday."
12623,"PAM"," Holy shitzombies!"
12628,"PAM"," Wait, does this mean you and me --"
12640,"PAM"," You finally nailed YYZ?"
12645,"PAM"," You need to quit going to her."
12655,"PAM"," Yeah, way to bury the lead."
12666,"PAM"," But Ms. Archer said --"
12684,"PAM"," So! Robocop! Pro or con?"
12780,"PAM"," Besides leavin yer cooch in the sink?"
12783,"PAM"," What? That just sounds considerate."
12797,"PAM"," I think what Cheryl's --"
12799,"PAM"," I think what she's trying to say is you can either think of this as a crisis..."
12818,"PAM"," When's the wedding, when's the wedding?!"
12837,"PAM"," Phrasing, boom! Ahem. Inappropriate."
12879,"PAM"," It'll spoil..."
13144,"PAM"," Oh, for --! I wouldn't say grossly!"
13152,"PAM"," Whaddya mean, how? Mr. Ar --"
13157,"PAM"," Owwwwwww!"
13159,"PAM"," Son of a shit-snackin whore..."
13167,"PAM"," There's teriyaki?"
13174,"PAM"," Whaaaaaaaat? Yes."
13189,"PAM"," Heck, if you need some help, I'll --"
13196,"PAM"," Nope."
13218,"PAM"," For what? Space-blastering me in the frickin tits?! Or tricking me into that fart-locker to get blasted into outer goddamn space on the off chance you might wanna bang me!"
13220,"PAM"," After you blew me off for Katya the big-titted cyborg! Little Miss, uh..."
13222,"PAM"," Nice."
13230,"PAM"," Oh, all right..."
13232,"PAM"," Meh. Whew! Okay, good luck."
13234,"PAM"," I call that the MOAB. It stands for --"
13318,"PAM"," Holy shitspace! Hey guys, we got a problem!"
13345,"PAM"," ""Auto,"" got it, moving the lever! Uh... clunk. Did that do it?"
13347,"PAM"," Boring conversation anyway."
13349,"PAM"," These nutsacks wanna take us to Mars to be baby-factories!"
13352,"PAM"," Reeally..."
13354,"PAM"," You just -- oh whatever, c'mon, we gotta figure a way out of this!"
13402,"PAM"," That's what Dad said, when the bank man came out to foreclose on the farm. And guess how that turned out."
13404,"PAM"," No, we got a loan modification. You think a bank wants to own a failing dairy farm? With obsolete milkers? Oh my God, speaking of..."
13407,"PAM"," Man, I hope not..."
13409,"PAM"," Guess not."
13412,"PAM"," Don't get me wrong, I'd still do her."
13455,"PAM"," See? Now we just wait for Mr. Archer to save the day, like he always does."
13457,"PAM"," Didn't you hear him? He said --"
13459,"PAM"," What the...?"
13463,"PAM"," God damn it..."
13494,"PAM"," Right here, spacenuts."
13503,"PAM"," Make me!"
13529,"PAM"," Aw, crapsnacks! How could this get --"
13532,"PAM"," Any worse. Is what I was gonna say."
13534,"PAM"," Yes."
13560,"PAM"," Reeeally..."
13562,"PAM"," Oh."
13617,"PAM"," Me."
13676,"PAM"," Aww..."
13717,"PAM"," For the free rooms, because the only thing you are more than mean is cheap?"
13790,"PAM"," Speaking of, you see the bulge on that towel boy? Man, if I was you I'd be at this spa twenty-five-eight."
13792,"PAM"," You hate everybody at work."
13794,"PAM"," The hatred."
13873,"PAM"," Duh."
13875,"PAM"," Damn near. This shit is el crónico. Gracias, Julio, you are the man."
13877,"PAM"," What?!"
13880,"PAM"," You hypocrite cooze, I just watched you eat a whole bag of LSD gummi bears!"
13882,"PAM"," Aww..."
13934,"PAM"," Your words."
13945,"PAM"," Phrasing, first, boom!"
13973,"PAM"," Where the hell're we supposed to eat lunch if you close the break room?"
13987,"PAM"," Yaaayyyy!"
13989,"PAM"," I dunno, maybe I'm the only one who cares about this being an efficient and supportive work environment..."
13991,"PAM"," Maybe you can shut your dick-holster. So see me after, I've got everyone paired off. Well, except Ms. Archer."
13995,"PAM"," Shitbag"
14018,"PAM"," Reach-around? Owww! Jesus!"
14020,"PAM"," Nooo!"
14056,"PAM"," And I'm telling you these reviews are mandatory, and since I outrank you..."
14058,"PAM"," Okay."
14060,"PAM"," This, mustache on a penis, is Rodney."
14062,"PAM"," Meh-heh! He's the new, whatever, gun librarian."
14066,"PAM"," Ms. Archer's pissed cause a buncha guns and stuff keep going missing..."
14077,"PAM"," Yeah, that lemur is hosed."
14196,"PAM"," Well this is a frickin disaster!"
14198,"PAM"," No. Nobody's doing their peer reviews!"
14200,"PAM"," It matters to me!"
14202,"PAM"," Well then maybe instead of doing my job I'll go hang out in Vermont with Luke Troy and all the other assholes!"
14204,"PAM"," Oops."
14208,"PAM"," So why are these damn peer reviews so hard?! Only like ten people work in this whole goddamn chickenshit outfit! Sorry."
14425,"PAM"," What's up, spaghetti-legs?"
14428,"PAM"," Gettin' that list of shit you wanted."
14454,"PAM"," Hey, should I wash my hands?"
14457,"PAM"," Oh that's right, he hates robots!"
14488,"PAM"," C'mon, how's that even supposed to -- fit inside another human being?"
14490,"PAM"," No no no, do it again, do it again, do it a --"
14492,"PAM"," Sorry."
14494,"PAM"," Sorry. Jeez... Ehh..."
14496,"PAM"," I'll be honest, it's not great."
14498,"PAM"," [ Burps ] Me too."
14601,"PAM"," What the shit was that?!"
14641,"PAM"," Gotta be somewhere in there..."
14643,"PAM"," What, to five? Dicknuts?"
14646,"PAM"," [ Burps ] I can promise it ain't my last."
14662,"PAM"," Don't look at me, found number six!"
14675,"PAM"," Just like Fourth of Ju-Luau..."
14714,"PAM"," Scream into a speakerphone much?"
14716,"PAM"," What?! You want us to wear earplugs every time you're on the damn pho --"
14814,"PAM"," How much did you go to the damn doctor?"
14892,"PAM"," Pacman Jones!"
14967,"PAM"," Oh for the -- we're already late, what'd ya go and start that for?"
14969,"PAM"," So, it just spontaneously combusted."
14971,"PAM"," I'm sure you do."
14978,"PAM"," Gimme that."
14981,"PAM"," Well what the hell was it?!"
14985,"PAM"," Who drinks a pint of grappa?!"
14987,"PAM"," Nah, I can't, we --"
14989,"PAM"," Oh my God, thank you --"
14991,"PAM"," -- but we've got dates."
14993,"PAM"," Muh-huh. Date dates, dingdong."
14996,"PAM"," So c'mon, let's go already! My cooch has cobwebs on it."
15111,"PAM"," Okay, lemme get this straight... You wanna help psycho cyborg supervillain Barry, who's trapped in space like General frickin Zod, get back to earth so she'll dump him for you?"
15114,"PAM"," Yeah, right? Oh for -- this is not Opposite World."
15116,"PAM"," God, okay! This is Opposite World!"
15119,"PAM"," Convinced?"
15134,"PAM"," Ugh, not with all this damn racket!"
15136,"PAM"," I am, this is how I do it!"
15138,"PAM"," Oh. I put Cheryl on that."
15156,"PAM"," So when I said this is Opposite World --"
15219,"PAM"," Whaaat?!"
15221,"PAM"," Nothin. But don't go in there!"
15226,"PAM"," Uh... Not reeeally..."
15232,"PAM"," What's that?"
15234,"PAM"," No! Gimme that!"
15236,"PAM"," Nothing! Jesus!"
15243,"PAM"," Yes... owww!"
15245,"PAM"," That's as good as I can get it! Dicknuts!"
15253,"PAM"," 'kay!"
15255,"PAM"," Okay, here! Dicknuts!"
15383,"PAM"," Your clompin' ass oughta know..."
15385,"PAM"," Seriously, I bet your downstairs neighbors hate you."
15387,"PAM"," That's because the Flatows think they live under a frickin AT-AT."
15391,"PAM"," So, is that a compliment, or --"
15393,"PAM"," Okay."
15402,"PAM"," Okay."
15410,"PAM"," Aww, can I at least put something in the newsletter?"
15412,"PAM"," No?"
15526,"PAM"," Mmmmmmmmmmmcuz we don't give a shit?"
15530,"PAM"," Daaamn..."
15734,"PAM"," Why do they need security anyway?"
15737,"PAM"," [suppressed chuckling]"
15740,"PAM"," [CHUCKLING] You say that like you believe it. Wh-? Hey!"
15742,"PAM"," [huge, explosive sob]"
15744,"PAM"," That's my fish, his name's Jermaaaine!"
15811,"PAM"," Yes. And also I think you might have low blood sugar. And I need you to focus, so we can get Cruella de Vil's mom in there a damn table before she kills Jermaine!"
15813,"PAM"," Okay A, he's not a goldfish, and B --"
15815,"PAM"," Please don't make me, and B..."
15816,"PAM"," Tell 'em Thuy"
15819,"PAM"," Anyhoo, without gettin all into the details, I may or may not owe fourteen thousand dollars to some people you wouldn't wanna owe fourteen cents."
15821,"PAM"," Could you try?"
15823,"PAM"," Could you pretend to try?"
15859,"PAM"," Yeah, Gilda Gotrocks here says ritzy joints like Seize have reservation numbers that're strictly on the QT."
15862,"PAM"," Yes, you in fact did, and said recompense will in fact be a handjob."
15864,"PAM"," From her."
15867,"PAM"," Yes! Please! C'mon, if I don't make good on that last fish-fight, you're gonna find me in a dumpster somewhere way out in Red Hook! Ya know, if you're ever in Red Hook snoopin around in random dumpsters."
15869,"PAM"," Um... apparently."
15881,"PAM","(weary sigh) And yet I will die alone."
15885,"PAM"," (chuckling) Oh, Teddy. Such a scamp."
15912,"PAM"," Aww man, I'm frickin starving..."
15918,"PAM"," What?"
15960,"PAM"," What."
15962,"PAM"," You sure?"
15973,"PAM"," You said I could have it!"
16104,"PAM"," You did say right this second."
16109,"PAM"," But speaking of, I bet a Mexican would do this for a buck an hour."
16112,"PAM"," Dicknuts. I'm just sayin, they work hard as hell, and they work cheap."
16116,"PAM"," Where do you think milk comes from?"
16117,"PAM"," How's it hangin, Jorge?"
16119,"PAM"," Yeah, I think you're ready."
16121,"PAM"," Labor of love."
16133,"PAM"," You just got that."
16260,"PAM"," How's it hangin, Grimace?"
16351,"PAM"," Oh man, this must be killin you!"
16353,"PAM"," It's lamb, ding-dong, not salmon."
16355,"PAM"," I'm talking about Mr. Archer and Lana! In a deluxe honeymoon suite!"
16357,"PAM"," Ary position! By now, since I bet they already did all the good ones..."
16359,"PAM"," Ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh ungh"
16360,"PAM"," Want some?"
16362,"PAM"," Psych!"
16364,"PAM"," Why, what'd she say?!"
16366,"PAM"," And the old accounting department..."
16370,"PAM"," What's that?"
16372,"PAM"," What, I only watched for a second!"
16378,"PAM"," Like the Tuntmore Towers Hotel, where Lana's shacked up with Mr. Archer..."
16380,"PAM"," Yeah, we can see if he's into all that freaky gender-reversal stuff."
16382,"PAM"," Cyril. I watched for more than a second."
16387,"PAM"," Not swingin by the zoo."
16412,"PAM"," (O.S.) Are they doin it?! Are they bangin?!"
16414,"PAM"," Well these ribs sure as hell are."
16416,"PAM"," And miss these two doin it?"
16421,"PAM"," That's what she was screamin at you. Okay, so I watched the whole thing."
16423,"PAM"," No. I just slept out there a lot."
16434,"PAM"," (O.S.) Seriously..."
16435,"PAM"," Who are you, Van Cliburn? Knock off the tickling and work that shit."
16439,"PAM"," Cyril, they bangin yet?"
16469,"PAM"," Oh man, they gotta bump uglies now!"
16471,"PAM"," Cyril, a near-death experience is like, the ultimate aphrodisiac!"
16500,"PAM"," (O.S.) Get in my big ol vagina! I'm Lana!"
16510,"PAM"," What're you, nuts?"
16512,"PAM"," Ugh, you're allergic to penicillin."
16514,"PAM"," There's no penicillin in this --"
16516,"PAM"," -- because why the hell would there be penicillin in chocolate mousse?"
16518,"PAM"," Not that kind of moose."
16557,"PAM"," (O.S.) Cyril! Don't leave, it's on!"
16559,"PAM"," On as in on on."
16561,"PAM"," Thricely redundant..."
16563,"PAM"," It's rosemary-mint."
16585,"PAM"," (O.S.) Aw, man... am I missing all the hot Asian group action?"
16587,"PAM"," Join the club..."
16610,"PAM"," (O.S.) What, are they bangin?!"
16620,"PAM"," Aw man, I totally missed it..."
16622,"PAM"," No! Jesus. Although it is clogged."
16643,"PAM"," Do you even know what that is?"
16819,"PAM"," Speaking of..."
16821,"PAM"," No. I'm actually broker than usual..."
16823,"PAM"," Uht? Pungash bishiz..."
16824,"PAM"," But I'm very comfortable in my own body, thank you very much, and -"
16826,"PAM"," And before you say -"
16828,"PAM"," To be a field agent!"
16864,"PAM"," Uh, besides Cyril's one?"
16866,"PAM"," Cyril? Ya wanna fresh one?"
16868,"PAM"," Then shut your fist-hole, and show Ms. Archer how I did on the IFAAB."
16870,"PAM"," How?! Everybody watched me take it! Under sterile conditions, by the way!"
16872,"PAM"," [fweet]"
16873,"PAM"," What. Punkass bitches..."
16876,"PAM"," Cue sad trombone, aaaaaaaaaaaand - Go!"
16934,"PAM"," Plus I'm a quick learner plus you've seen me drive I'm an amazing driver plus I almost never get sick plus I already bought three pantsuits plus -"
16936,"PAM"," Is that a real you'll think about it, or a ""Pam if your pig Leon wins a blue ribbon at the county fair maybe we won't kill him and eat him for Easter dinner and render what's left into soap"" you'll think about it?"
16938,"PAM"," Because I never really got over that."
16940,"PAM"," Yaaaaaay!"
16942,"PAM"," It was actually pretty awesome. And if I'm being honest, so was Leon."
17091,"PAM"," (O.S.) What?! [*** Pam enters ***]"
17092,"PAM"," Jesus Christ... Shit. God damn it."
17094,"PAM"," What."
17096,"PAM"," What?!"
17098,"PAM"," Whaaat?!"
17101,"PAM"," Aww man, we have to learn Latin?"
17118,"PAM"," Ha!"
17120,"PAM"," I dunno, what're we doing?"
17127,"PAM"," Haaa!"
17129,"PAM"," Pink Panther's on. Father Guido Sardoochbag.?"
17134,"PAM"," I'm goin as fast as I can!"
17136,"PAM"," The fence post?"
17157,"PAM"," Whoa whoa, take it down a notch, St. Louis! His head is not up his ass!"
17159,"PAM"," It was an eight-hour flight."
17161,"PAM"," Who am I, Cypher? The gayest X-man?"
17164,"PAM"," We call it the old switcheroo."
17170,"PAM"," Eh... non si traduce bene."
17180,"PAM"," (O.S.) Aw crap, he's already dead."
17182,"PAM"," I'm gonna get a mirror."
17184,"PAM"," Gonna see if his breath fogs it up."
17186,"PAM"," [gasp]"
17188,"PAM"," I killed the pope!"
17190,"PAM"," Jesus Christ I'm going to hell I'm going to hell I'm going to hell I'm -"
17192,"PAM"," Yes?"
17195,"PAM"," Is he dead?!"
17197,"PAM"," Should I get another mirror? But like, a much much smaller one?"
17201,"PAM"," Promise you won't get mad?"
17206,"PAM"," Huh? Oh!"
17209,"PAM"," Ow! What the -- is that a needle?!"
17218,"PAM"," Aw, stai zitto, testa di cazzo. And could you...?"
17226,"PAM"," Better make that two. Think I mighta grabbed the tail of the dragon here..."
17243,"PAM"," I got him, just toss him down!"
17251,"PAM"," Ow! Oh for shit's sake, already!"
17259,"PAM"," Haaaa!"
17274,"PAM"," Yes, really! A, I was a race car driver! And B -"
17277,"PAM"," The pope could drive better than you!"
17279,"PAM"," Ugh, esatto?"
17291,"PAM"," Why are they wearing Swiss Guard uniforms, driving a Swiss Guard car?!"
17301,"PAM"," [LAUGHING] Yeah, you must make a shitlo - [brrrrrrrrpt!]"
17314,"PAM"," That's your plan?! So hey, can I squeeze in a confession?"
17316,"PAM"," Fine, I'll buy a damn indulgence! Oh wait..."
17325,"PAM"," Plus he's a whoremonger."
17327,"PAM"," Oh please, who hasn't paid for it?! Still talking about indulgences."
17333,"PAM"," What do you think he said, dicknuts?! Pay attention to the frickin context!"
17335,"PAM"," (O.S.) Wrong X-Man, dumbass!"
17340,"PAM"," Get doowwwn!"
17344,"PAM"," Unghh!"
17347,"PAM"," Yeah me too, asshole!"
17350,"PAM"," Uhh... no, he's, they're both good."
17355,"PAM"," Context! They're reloading!"
17366,"PAM"," Hey heyyy, that is good news!"
17369,"PAM"," Oh right."
17371,"PAM"," What're they, like the mafia?"
17375,"PAM"," So... equally sexy?"
17377,"PAM"," Oww!"
17386,"PAM"," What?!"
17396,"PAM"," What?"
17398,"PAM"," Okay, I promise! Swear to God!"
17402,"PAM"," (O.S.) Haaaaa!?"
17449,"PAM"," Will you shut up?! I swear to God, if you get us kicked off before I get my jumbo scrimps on - You'll wish you were Michael Findlay."
17453,"PAM"," Pffrrfft! Prrfft! Puh!"
17525,"PAM"," Rrowrf.Om nom nomnomnom."
17527,"PAM"," Mrmff, it's pretty good, once you get over how allergic I am to soy."
17529,"PAM"," Wh-? Hey! I am a consenting adult. Plus I assume you've got an epi-pen on this big Riptide-lookin' bastard?"
17531,"PAM"," Well then shut up."
17545,"PAM"," Rrowrf."
17547,"PAM"," Last one. Mmrowmf."
17570,"PAM"," Last one, stinky-pinky- swear. Mrowf."
17572,"PAM"," Aw crap, already?"
17574,"PAM"," Look, auditory hallucinations aren't gonna make you any less delicious."
17575,"PAM"," Hey! I was talking to that!"
17577,"PAM"," And that's how you ask?"
17579,"PAM"," Yeah, he -- is he? Doing that?"
17581,"PAM"," Huh."
17583,"PAM"," Huh."
17585,"PAM"," I mean... ya think that's the worst idea anybody ever had?"
